Karyotype;Vial rep. nr.;Name of tube;TOTAL M;ALIVE M;DEAD M
STD;1;ACS STD_1;15;8;7
STD;2;ACS STD_2;15;11;4
STD;3;ACS STD_3;15;4;11
STD;4;ACS STD_4;15;8;7
STD;5;ACS STD_5;15;8;7
STD;6;ACS STD_6;15;11;4
STD;7;ACS STD_7;15;6;9
STD;8;ACS STD_8;15;9;6
STD;9;ACS STD_9;15;12;3
STD;10;ACS STD_10;14;8;6
STD;11;ACS STD_11;15;6;9
STD;12;ACS STD_12;15;9;6
STD;13;ACS STD_13;15;8;7
STD;14;ACS STD_14;15;7;8
STD;15;ACS STD_15;15;10;5
STD;16;ACS STD_16;15;8;7
STD;17;ACS STD_17;15;5;10
STD;18;ACS STD_18;15;11;4
STD;19;ACS STD_19;15;4;11
STD;20;ACS STD_20;15;8;7
3RP;1;ACS 3RP_1;15;5;10
3RP;2;ACS 3RP_2;15;4;11
3RP;3;ACS 3RP_3;15;7;8
3RP;4;ACS 3RP_4;15;8;7
3RP;5;ACS 3RP_5;13;4;9
3RP;6;ACS 3RP_6;15;7;8
3RP;7;ACS 3RP_7;15;4;11
3RP;8;ACS 3RP_8;15;2;13
3RP;9;ACS 3RP_9;15;6;9
3RP;10;ACS 3RP_10;15;5;10
3RP;11;ACS 3RP_11;15;4;11
3RP;12;ACS 3RP_12;15;3;12
3RP;13;ACS 3RP_13;15;2;13
3RP;14;ACS 3RP_14;15;4;11
3RP;15;ACS 3RP_15;15;3;12
3RP;16;ACS 3RP_16;15;4;11
3RP;17;ACS 3RP_17;15;2;13
3RP;18;ACS 3RP_18;15;5;10
3RP;19;ACS 3RP_19;15;8;7
3RP;20;ACS 3RP_20;15;4;11
2Lt;2;ACS 2Lt_2;15;7;8
2Lt;3;ACS 2Lt_3;15;6;9
2Lt;4;ACS 2Lt_4;15;6;9
2Lt;5;ACS 2Lt_5;15;10;5
2Lt;6;ACS 2Lt_6;15;7;8
2Lt;7;ACS 2Lt_7;14;6;8
2Lt;8;ACS 2Lt_8;15;8;7
2Lt;9;ACS 2Lt_9;15;8;7
2Lt;10;ACS 2Lt_10;15;9;6
2Lt;11;ACS 2Lt_11;15;9;6
2Lt;12;ACS 2Lt_12;14;6;8
2Lt;13;ACS 2Lt_13;15;6;9
2Lt;15;ACS 2Lt_15;14;8;6
2Lt;16;ACS 2Lt_16;14;9;5
2Lt;17;ACS 2Lt_17;15;5;10
2Lt;18;ACS 2Lt_18;15;12;3
2Lt;19;ACS 2Lt_19;15;7;8
2Lt;20;ACS 2Lt_20;15;7;8
3RK;1;ACS 3RK_1;15;9;6
3RK;2;ACS 3RK_2;15;9;6
3RK;3;ACS 3RK_3;15;8;7
3RK;4;ACS 3RK_4;15;6;9
3RK;5;ACS 3RK_5;15;10;5
3RK;6;ACS 3RK_6;15;10;5
3RK;7;ACS 3RK_7;15;6;9
3RK;8;ACS 3RK_8;15;10;5
3RK;9;ACS 3RK_9;15;8;7
3RK;10;ACS 3RK_10;15;9;6
3RK;11;ACS 3RK_11;15;8;7
3RK;12;ACS 3RK_12;14;9;5
3RK;13;ACS 3RK_13;15;9;6
3RK;14;ACS 3RK_14;15;6;9
3RK;15;ACS 3RK_15;15;10;5
3RK;16;ACS 3RK_16;15;7;8
3RK;17;ACS 3RK_17;15;11;4
3RK;18;ACS 3RK_18;14;13;1
3RK;19;ACS 3RK_19;15;11;4
3RK;20;ACS 3RK_20;14;6;8
3RP_HET_1;1;ACS 3RP_HET_1_1;15;7;8
3RP_HET_1;2;ACS 3RP_HET_1_2;15;6;9
3RP_HET_1;3;ACS 3RP_HET_1_3;15;12;3
3RP_HET_1;4;ACS 3RP_HET_1_4;15;11;4
