No.;Karyotype;Vial_rep._nr.;Name_of_tube;Adults;Pupae_(dark/dead)
1;STD;53;STD_27_A;34;2
2;STD;54;STD_27_B;29;3
3;STD;55;STD_28_A;66;6
4;STD;56;STD_28_B;84;16
5;STD;59;STD_30_A;31;6
6;STD;60;STD_30_B;72;9
7;STD;61;STD_30_C;85;11
8;STD;62;STD_31_A;56;3
9;STD;63;STD_32_B;50;9
10;STD;64;STD_32_C;54;2
11;STD;93;STD_47_A;78;5
12;STD;94;STD_47_B;3;4
13;STD;95;STD_48_A;71;6
14;STD;96;STD_48_B;52;5
15;STD;97;STD_49_A;78;5
16;STD;98;STD_49_B;51;6
17;STD;99;STD_50_A;66;3
18;STD;100;STD_50_B;75;10
19;STD;101;STD_51_A;74;11
20;STD;102;STD_51_B;48;9
21;STD;113;STD_57_A;39;4
22;STD;114;STD_57_B;55;2
23;STD;115;STD_58_A;1;0
24;STD;116;STD_58_B;17;2
25;STD;117;STD_59_A;67;1
26;STD;118;STD_59_B;58;7
27;STD;119;STD_60_A;60;0
28;STD;120;STD_60_B;71;3
29;STD;121;STD_61_A;57;0
30;STD;122;STD_61_B;52;3
31;STD;123;STD_62_A;72;3
32;STD;124;STD_62_B;48;2
33;STD;125;STD_63_A;61;5
34;STD;126;STD_63_B;44;0
35;3RP;61;3RP_31_A;92;16
36;3RP;62;3RP_31_B;69;23
37;3RP;63;3RP_32_A;52;6
38;3RP;64;3RP_32_B;109;10
39;3RP;65;3RP_33_A;42;23
40;3RP;66;3RP_33_B;80;15
41;3RP;67;3RP_34_A;70;4
42;3RP;68;3RP_34_B;69;23
43;3RP;69;3RP_35_A;85;10
44;3RP;70;3RP_35_B;80;3
45;3RP;97;3RP_49_A;98;3
46;3RP;98;3RP_49_B;106;6
47;3RP;99;3RP_50_A;47;2
48;3RP;100;3RP_50_B;73;4
49;3RP;101;3RP_51_A;75;9
50;3RP;102;3RP_51_B;78;4
51;3RP;103;3RP_52_A;96;8
52;3RP;104;3RP_52_B;102;4
53;3RP;105;3RP_53_A;80;4
54;3RP;106;3RP_53_B;67;5
55;3RP;107;3RP_54_A;56;8
56;3RP;108;3RP_54_B;71;2
57;3RP;109;3RP_55_A;90;8
58;3RP;110;3RP_55_B;69;5
59;3RP;111;3RP_56_A;92;4
60;3RP;112;3RP_56_B;82;4
61;3RP;113;3RP_57_A;98;11
62;3RP;114;3RP_57_B;65;1
63;3RP;115;3RP_58_A;52;1
64;3RP;116;3RP_58_B;95;19
65;3RP;117;3RP_59_A;67;2
66;3RP;118;3RP_59_B;91;7
67;3RP;119;3RP_60_A;10;0
68;3RP;120;3RP_60_B;71;3
69;2Lt;51;2Lt_26_A;58;7
70;2Lt;52;2Lt_26_B;63;5
71;2Lt;53;2Lt_27_A;43;16
72;2Lt;54;2Lt_27_B;70;22
73;2Lt;55;2Lt_28_A;60;1
74;2Lt;56;2Lt_28_B;37;0
75;2Lt;57;2Lt_29_A;57;0
76;2Lt;58;2Lt_29_B;83;5
77;2Lt;59;2Lt_30_A;65;5
78;2Lt;60;2Lt_30_B;65;6
79;2Lt;87;2Lt_44_A;78;8
80;2Lt;88;2Lt_44_B;94;2
81;2Lt;89;2Lt_45_A;67;4
82;2Lt;90;2Lt_45_B;77;6
83;2Lt;91;2Lt_46_A;65;4
84;2Lt;92;2Lt_46_B;83;17
85;2Lt;93;2Lt_47_A;87;3
86;2Lt;94;2Lt_47_B;57;0
87;2Lt;95;2Lt_48_A;91;7
88;2Lt;96;2Lt_48_B;64;8
89;2Lt;97;2Lt_49_A;77;5
90;2Lt;98;2Lt_49_B;68;2
91;2Lt;99;2Lt_50_A;65;6
92;2Lt;100;2Lt_50_B;8;2
93;2Lt;111;2Lt_56_A;74;8
94;2Lt;112;2Lt_56_B;80;6
95;2Lt;113;2Lt_57_A;84;8
96;2Lt;114;2Lt_57_B;90;9
97;2Lt;115;2Lt_58_A;82;2
98;2Lt;116;2Lt_58_B;96;8
99;2Lt;117;2Lt_59_A;40;1
100;2Lt;118;2Lt_59_B;48;0
101;2Lt;119;2Lt_60_A;86;3
102;2Lt;120;2Lt_60_B;71;1
