No.;Karyotype;Vial_rep_ nr.;Number_of_tube;Adults;Pupae;Gas
1;STD;1;(C) A;31;5;NO
2;STD;2;(C) B;37;3;NO
3;STD;3;(B) A;0;0;NO
4;STD;4;(A) B;82;2;NO
5;STD;5;(A) A;75;3;NO
6;STD;6;(A) B;80;7;NO
7;STD;7;(26) A;49;1;YES
8;STD;8;(25) A;49;3;YES
9;STD;9;(26) B;0;0;YES
10;STD;10;(25) B;70;0;YES
11;STD;11;(14) A;59;0;YES
12;STD;12;(14) B;54;3;YES
13;STD;13;(14) C;83;3;YES
14;STD;14;(15) A;64;1;YES
15;STD;15;(15) B;81;2;YES
16;STD;16;(15) C;72;2;YES
17;STD;17;(16) A;54;1;YES
18;STD;18;(16) B;89;0;YES
19;STD;19;(16) C;88;5;YES
20;STD;20;(19);80;2;YES
21;STD;21;(E) A;59;2;YES
22;STD;22;(21) A;76;2;YES
23;STD;23;(22) A;79;1;YES
24;STD;24;(22) B;51;0;YES
25;STD;25;(22) C;73;0;YES
26;STD;26;(23) A;73;2;YES
27;STD;27;(23) B;65;1;YES
28;STD;28;(10) A;21;0;YES
29;STD;29;(21) B;99;7;YES
30;STD;30;(10) B;50;0;YES
31;STD;31;(10) C;59;1;YES
32;STD;32;(D) A;57;0;NO
33;STD;33;(11);83;1;YES
34;STD;34;(D) B;7;0;NO
35;STD;35;(23) C;46;3;YES
36;STD;36;(F) A;91;2;NO
37;STD;37;(F) B;0;0;NO
38;STD;38;(E) B;73;1;NO
39;STD;39;(F) C;29;0;NO
40;STD;40;(E) C;91;0;NO
41;3RP;1;(A) A;86;3;NO
42;3RP;2;(A) B;60;7;NO
43;3RP;3;(28) A;33;0;YES
44;3RP;4;(28) B;68;8;YES
45;3RP;5;(27) A;73;7;YES
46;3RP;6;(27) B;81;3;YES
47;3RP;7;(26) A;76;3;YES
48;3RP;8;(25) A;93;8;YES
49;3RP;9;(26) B;81;8;YES
50;3RP;10;(25) B;81;2;YES
51;3RP;11;3;34;0;YES
52;3RP;12;(18);49;3;YES
53;3RP;13;(22) A;58;3;YES
54;3RP;14;(20);66;4;YES
55;3RP;15;(22) B;67;2;YES
56;3RP;16;(21) A;68;2;YES
57;3RP;17;(21) B;85;3;YES
58;3RP;18;(29) A;78;2;YES
59;3RP;19;(29) B;80;2;YES
60;3RP;20;(4) A;49;3;YES
61;3RP;21;(3);11;0;YES
62;3RP;22;(4) B;79;1;YES
