No.;Karyotype;Vial_rep._nr.;Name_of_tube;Total_eggs;Adults_after_experiment;Pupae_after_experiment
1;STD;1;STD_1;30;1;1
2;STD;2;STD_2;30;2;0
3;STD;3;STD_3;30;5;0
4;STD;4;STD_4;30;2;0
5;STD;5;STD_5;30;1;0
6;STD;6;STD_6;30;5;0
7;STD;7;STD_7;30;1;0
8;STD;8;STD_8;30;10;0
9;STD;9;STD_9;30;4;0
10;STD;10;STD_10;30;6;0
11;STD;11;STD_11;30;7;0
12;STD;12;STD_12;30;4;1
13;STD;13;STD_13;30;7;1
14;STD;14;STD_14;30;2;0
15;STD;15;STD_15;30;5;0
16;STD;16;STD_16;30;4;2
17;STD;17;STD_17;30;6;1
18;STD;18;STD_18;30;5;0
19;STD;19;STD_19;30;7;1
20;STD;20;STD_20;30;4;0
21;3RP;1;3RP_1;30;10;2
22;3RP;2;3RP_2;30;10;0
23;3RP;3;3RP_3;30;14;0
24;3RP;4;3RP_4;30;3;1
25;3RP;5;3RP_5;30;7;1
26;3RP;6;3RP_6;30;10;2
27;3RP;7;3RP_7;30;4;1
28;3RP;8;3RP_8;30;5;3
29;3RP;9;3RP_9;30;15;2
30;3RP;10;3RP_10;30;12;3
31;3RP;11;3RP_11;30;13;0
32;3RP;12;3RP_12;30;1;2
33;3RP;13;3RP_13;30;1;1
34;3RP;14;3RP_14;30;7;0
35;3RP;15;3RP_15;30;1;1
36;3RP;16;3RP_16;30;7;2
37;3RP;17;3RP_17;30;15;1
38;3RP;18;3RP_18;30;12;0
39;3RP;19;3RP_19;30;6;2
40;3RP;20;3RP_20;30;4;1
41;2Lt;1;2Lt_1;30;12;0
42;2Lt;2;2Lt_2;30;10;3
43;2Lt;3;2Lt_3;30;5;0
44;2Lt;4;2Lt_4;30;6;2
45;2Lt;5;2Lt_5;30;3;0
46;2Lt;6;2Lt_6;30;7;0
47;2Lt;7;2Lt_7;30;2;1
48;2Lt;8;2Lt_8;30;7;0
49;2Lt;9;2Lt_9;30;4;1
50;2Lt;10;2Lt_10;30;8;0
51;2Lt;11;2Lt_11;30;18;0
52;2Lt;12;2Lt_12;30;16;1
53;2Lt;13;2Lt_13;30;6;1
54;2Lt;14;2Lt_14;30;12;2
55;2Lt;15;2Lt_15;30;4;0
56;2Lt;16;2Lt_16;30;3;0
57;2Lt;17;2Lt_17;30;8;3
58;2Lt;18;2Lt_18;30;7;0
59;2Lt;19;2Lt_19;30;14;1
60;2Lt;20;2Lt_20;30;17;1
61;3RK;1;3RK_1;30;11;0
62;3RK;2;3RK_2;30;1;1
63;3RK;3;3RK_3;30;16;2
64;3RK;4;3RK_4;30;11;1
65;3RK;5;3RK_5;30;11;0
66;3RK;6;3RK_6;30;9;1
67;3RK;7;3RK_7;30;6;0
68;3RK;8;3RK_8;30;1;0
69;3RK;9;3RK_9;30;14;1
70;3RK;10;3RK_10;30;8;1
71;3RK;11;3RK_11;30;2;2
72;3RK;12;3RK_12;30;14;0
73;3RK;13;3RK_13;30;1;0
74;3RK;14;3RK_14;30;2;1
75;3RK;15;3RK_15;30;9;0
76;3RK;16;3RK_16;30;1;0
77;3RK;17;3RK_17;30;8;1
78;3RK;18;3RK_18;30;13;1
79;3RK;19;3RK_19;30;13;0
80;3RK;20;3RK_20;30;2;0
82;3RP_HET_1;1;3RP_HET_1_1;30;11;1
83;3RP_HET_1;2;3RP_HET_1_2;30;8;0
84;3RP_HET_1;3;3RP_HET_1_3;30;6;0
