Karyotype;Vial rep. nr.;Name of tube;TOTAL_M;ALIVE_M;DEAD_M
STD;27;STD_27;16;0;16
STD;28;STD_28;13;0;13
STD;30;STD_30;12;0;12
STD;31;STD_31;7;0;7
STD;32;STD_32;11;0;11
STD;33;STD_33;15;0;15
STD;34;STD_34;12;0;12
STD;35;STD_35;18;1;17
STD;36;STD_36;12;1;11
STD;38;STD_38;10;0;10
STD;39;STD_39;11;0;11
STD;40;STD_40;15;1;14
STD;41;STD_41;11;1;10
STD;43;STD_43;9;0;9
STD;46;STD_46;9;0;9
STD;47;STD_47;8;0;8
STD;48;STD_48;9;0;9
STD;49;STD_49;6;0;6
STD;50;STD_50;14;0;14
STD;51;STD_51;13;0;13
STD;52;STD_52;14;1;13
STD;53;STD_53;19;0;19
STD;54;STD_54;13;0;13
STD;55;STD_55;12;0;12
STD;56;STD_56;8;1;7
STD;57;STD_57;12;0;12
STD;58;STD_58;16;0;16
STD;59;STD_59;7;0;7
STD;60;STD_60;8;0;8
STD;61;STD_61;9;0;9
STD;62;STD_62;9;0;9
STD;63;STD_63;10;0;10
STD;64;STD_64;13;1;12
STD;65;STD_65;8;0;8
STD;66;STD_66;12;0;12
STD;67;STD_67;10;0;10
STD;68;STD_68;8;0;8
STD;69;STD_69;14;0;14
STD;70;STD_70;7;0;7
STD;71;STD_71;14;1;13
3RP;31;3RP_31;12;0;12
3RP;32;3RP_32;14;0;14
3RP;33;3RP_33;13;0;13
3RP;34;3RP_34;4;0;4
3RP;35;3RP_35;12;0;12
3RP;36;3RP_36;17;0;17
3RP;37;3RP_37;18;0;18
3RP;38;3RP_38;14;1;13
3RP;39;3RP_39;10;0;10
3RP;40;3RP_40;14;0;14
3RP;45;3RP_45;12;0;12
3RP;47;3RP_47;8;0;8
3RP;48;3RP_48;16;0;16
3RP;49;3RP_49;16;0;16
3RP;51;3RP_51;11;0;11
3RP;52;3RP_52;14;0;14
3RP;53;3RP_53;9;0;9
3RP;54;3RP_54;7;0;7
3RP;55;3RP_55;14;2;12
3RP;56;3RP_56;16;0;16
3RP;57;3RP_57;15;0;15
3RP;58;3RP_58;7;0;7
3RP;59;3RP_59;12;0;12
3RP;60;3RP_60;8;0;8
2Lt;26;2Lt_26;4;0;4
2Lt;27;2Lt_27;10;1;9
2Lt;28;2Lt_28;15;0;15
2Lt;29;2Lt_29;11;0;11
2Lt;30;2Lt_30;14;0;14
2Lt;31;2Lt_31;13;0;13
2Lt;33;2Lt_33;10;0;10
2Lt;34;2Lt_34;10;0;10
