Sample_nr;Karyotype;Vial_rep._nr.;Name_of_tube;Total_F;DEAD_F;ALIVE_F;GAS;BORDERS
1;STD;1;STD_1;8;3;5;YES;NO
2;STD;2;STD_2;10;3;7;YES;NO
3;STD;3;STD_3;6;3;3;YES;NO
4;STD;4;STD_4;12;2;10;YES;NO
5;STD;6;STD_6;10;6;4;YES;NO
6;STD;7;STD_7;11;2;9;YES;NO
7;STD;8;STD_8;12;1;11;YES;NO
8;STD;9;STD_9;11;5;6;YES;NO
9;STD;10;STD_10;12;7;5;YES;NO
10;STD;11;STD_11;7;6;1;YES;NO
12;STD;15;STD_15;10;3;7;YES;NO
13;STD;16;STD_16;8;0;8;YES;NO
14;STD;19;STD_19;6;3;3;YES;NO
15;STD;21;STD_21;9;2;7;YES;NO
16;STD;22;STD_22;9;2;7;YES;NO
17;STD;23;STD_23;6;0;6;YES;NO
18;STD;25;STD_25;10;7;3;YES;NO
19;STD;26;STD_26;9;7;2;YES;NO
20;STD;A;STD_A;10;7;3;NO;NO
21;STD;B;STD_B;10;5;5;NO;NO
22;STD;C;STD_C;10;3;7;NO;NO
23;STD;D;STD_D;10;3;7;NO;NO
24;STD;E;STD_E;9;0;9;NO;NO
25;STD;F;STD_F;10;1;9;NO;NO
26;3RP;1;3RP_1;12;4;8;YES;NO
27;3RP;2;3RP_2;12;4;8;YES;NO
28;3RP;3;3RP_3;12;2;10;YES;NO
29;3RP;4;3RP_4;15;8;7;YES;NO
30;3RP;5;3RP_5;12;10;2;YES;NO
31;3RP;6;3RP_6;12;1;11;YES;NO
32;3RP;7;3RP_7;5;3;2;YES;NO
33;3RP;8;3RP_8;6;4;2;YES;NO
34;3RP;10;3RP_10;7;4;3;YES;NO
35;3RP;11;3RP_11;12;3;9;YES;NO
36;3RP;12;3RP_12;14;13;1;YES;YES
37;3RP;13;3RP_13;11;11;0;YES;NO
38;3RP;15;3RP_15;9;1;8;YES;NO
39;3RP;16;3RP_16;12;5;7;YES;NO
40;3RP;18;3RP_18;7;3;4;YES;NO
42;3RP;20;3RP_20;9;6;3;YES;NO
43;3RP;21;3RP_21;16;4;12;YES;NO
44;3RP;22;3RP_22;11;4;7;YES;NO
45;3RP;25;3RP_25;11;3;8;YES;NO
46;3RP;26;3RP_26;12;3;9;YES;NO
47;3RP;27;3RP_27;16;6;10;YES;NO
48;3RP;28;3RP_28;16;1;15;YES;NO
49;3RP;29;3RP_29;13;1;12;YES;NO
50;3RP;30;3RP_30;14;5;9;YES;NO
51;3RP;A;3RP_A;10;2;8;NO;NO
52;3RP;B;3RP_B;10;3;7;NO;NO
53;3RP;C;3RP_C;10;3;7;NO;NO
54;3RP;D;3RP_D;10;3;7;NO;NO
55;3RP;E;3RP_E;10;1;9;NO;NO
56;3RP;F;3RP_F;10;4;6;NO;NO
57;2Lt;3;2Lt_3;5;3;2;YES;NO
58;2Lt;4;2Lt_4;4;2;2;YES;NO
59;2Lt;10;2Lt_10;9;3;6;YES;NO
60;2Lt;11;2Lt_11;9;8;1;YES;NO
61;2Lt;12;2Lt_12;11;6;5;YES;NO
62;2Lt;14;2Lt_14;9;7;2;YES;NO
64;2Lt;16;2Lt_16;15;2;13;NO;NO
65;2Lt;22;2Lt_22;7;3;4;YES;YES
66;2Lt;23;2Lt_23;7;5;2;YES;NO
67;2Lt;24;2Lt_24;11;4;7;YES;NO
68;2Lt;25;2Lt_25;7;5;2;NO;NO
69;2Lt;A;2Lt_A;10;5;5;NO;NO
70;2Lt;B;2Lt_B;8;5;3;NO;NO
71;2Lt;C;2Lt_C;9;1;8;NO;NO
72;2Lt;D;2Lt_D;10;2;8;NO;NO
73;2Lt;E;2Lt_E;10;4;6;NO;NO
74;2Lt;F;2Lt_F;10;4;6;NO;NO
75;3RK;1;3RK_1;5;0;5;YES;NO
76;3RK;2;3RK_2;7;2;5;YES;NO
